back_premise,back_hypothesis,label
101빌딩 근처에는 즐길 거리가 많습니다.,101빌딩 근처에서는 즐길 거리를 찾기가 힘드네요.,contradiction
101빌딩 근처에는 즐길 거리가 많습니다.,101빌딩 주변에는 젊은이들이 즐길 수 있는 것들이 많다.,neutral
"웬디는 10년 만에 찾는 피터에게 따뜻하게 인사하고 피터는 성공적으로 연설을 마쳤고, 후크 선장은 다른 세계에서 온 피터 배닝의 남매 잭과 매기를 납치한다.",웬디는 피터에게 차갑게 인사했다.,contradiction
"웬디는 10년 만에 찾는 피터에게 따뜻하게 인사하고 피터는 성공적으로 연설을 마쳤고, 후크 선장은 다른 세계에서 온 피터 배닝의 남매 잭과 매기를 납치한다.",잭과 매기는 피터 배닝의 형제이다.,neutral
"웬디는 10년 만에 찾는 피터에게 따뜻하게 인사하고 피터는 성공적으로 연설을 마쳤고, 후크 선장은 다른 세계에서 온 피터 배닝의 남매 잭과 매기를 납치한다.","피터 배닝, 잭, 그리고 매기는 형제입니다.",entailment
10년 전 병원에 입원해 있던 한 소녀가 사라졌지만 목격자가 사건 단서를 찾지 못한 채 소녀는 돌아오지 않았다.,10년 전 한 병원에 입원한 소녀가 실종됐다.,entailment
10년 전 병원에 입원해 있던 한 소녀가 사라졌지만 목격자가 사건 단서를 찾지 못한 채 소녀는 돌아오지 않았다.,10년 후 과학기술이 발전해 10년 전에는 찾을 수 없었던 소녀를 찾아냈다.,neutral
10년 전 병원에 입원해 있던 한 소녀가 사라졌지만 목격자가 사건 단서를 찾지 못한 채 소녀는 돌아오지 않았다.,병원에서 실종된 소녀가 경찰 조사 덕분에 하루 만에 돌아옵니다.,contradiction
10년 전 공동육아를 통해 성미산 마을에 들어온 강석필과 홍형숙에게는 맥가이버와 호호라는 별명이 붙었다.,강석필과 홍형숙 부부가 성미산 마을에 들어온 것은 10년 전이다.,entailment
10년 전 공동육아를 통해 성미산 마을에 들어온 강석필과 홍형숙에게는 맥가이버와 호호라는 별명이 붙었다.,강석필과 홍형숙은 마을에서 평판이 좋다.,neutral
"10년 후, 16살이 된 사쿠라코는 주변의 반대에도 불구하고 도쿄 음악 학교에 입학하기를 희망한다.",사쿠라코는 어렸을 때부터 음악 학교에 가는 것을 꿈꿨다.,neutral
"10년 후, 16살이 된 사쿠라코는 주변의 반대에도 불구하고 도쿄 음악 학교에 입학하기를 희망한다.",사쿠라코는 음악 학교에 가기를 희망한다.,entailment
함께 이용하는데 불편함 없이 10명이 만족했다.,10명이 함께 이용하기에는 불편함이 많았다.,contradiction
함께 이용하는데 불편함 없이 10명이 만족했다.,10명이 함께 사용하기에 만족스러웠습니다.,entailment
함께 이용하는데 불편함 없이 10명이 만족했다.,성인 10명이 함께 이용하기에 불편함이 없었다.,neutral
10월 29일 현재 163개 회원국 중 104개국이 오콘조이 웨알라를 지지하는 것으로 알려졌다.,"10월 27일에 비해, 그것을 지지하는 국가의 수가 감소했습니다.",neutral
10월 29일 현재 163개 회원국 중 104개국이 오콘조이 웨알라를 지지하는 것으로 알려졌다.,10월 29일 현재 163개 회원국 중 59개국이 오콘조이 웨알라를 지지하지 않는 것으로 알려졌다.,entailment
10일 전북 전주완산소방서에 따르면 지난 6월 10여일 동안 벌집제거 신고를 20여건 접수해 현장에 출동하는 등 신고 건수가 점차 늘고 있다.,전주 완산소방서는 벌집 제거 의무가 있다.,neutral
10점 만점에 10점을 주기에는 부족한 드라마야.,제가 10점을 넘는 점수를 주고 싶은 드라마입니다.,entailment
10층에는 건물 사람들만 이용하는 수영장과 선베드가 있습니다.,수영장과 선베드는 9층에 있습니다.,contradiction
10층에는 건물 사람들만 이용하는 수영장과 선베드가 있습니다.,수영장과 선베드는 유료입니다.,neutral
11월 15일 이후 모든 포스트시즌 경기는 고척스카이돔에서 중립경기로 진행된다.,고척에서는 10월 이전에 열리는 경기만 개최됩니다.,contradiction
11월 15일 이후 모든 포스트시즌 경기는 고척스카이돔에서 중립경기로 진행된다.,고척스카이돔에서 경기가 있어요.,entailment
11월 15일 이후 모든 포스트시즌 경기는 고척스카이돔에서 중립경기로 진행된다.,포스트시즌 경기는 다른 경기보다 매진률이 높다.,neutral
"정부는 지난 11월 5일 국무회의에서 통합진보당을 상대로 한 해산심판 청구서를 통과시켰고, 대한민국 법무부는 곧바로 해산요구서를 제출했다.",법무부가 청구서를 제출한 지 사흘 만에 통합진보당은 해산됐다.,neutral
"정부는 지난 11월 5일 국무회의에서 통합진보당을 상대로 한 해산심판 청구서를 통과시켰고, 대한민국 법무부는 곧바로 해산요구서를 제출했다.",법무부가 해산심판 청구서를 통과시키자 정부는 해산청구서를 제출했다.,contradiction
12억원 상당의 중국 골동품을 수집한 김창래의 거듭된 반전 이야기가 뒤늦게 주목받고 있다.,김창래는 사업의 일환으로 중국 골동품을 수집했다.,neutral
12억원 상당의 중국 골동품을 수집한 김창래의 거듭된 반전 이야기가 뒤늦게 주목받고 있다.,김창래는 중국 골동품을 수집했다.,entailment
